Temperature,Density,Error_Density,Viscosity,Error_Viscosity,VaporPressure,Error_VaporPressure,SurfaceTension,Error_SurfaceTension,ThermalConductivity,Error_ThermalConductivity
C,g/cm^3,g/cm^3,mm^2/s,mm^2/s,kPa,kPa,N/m,N/m,W/m/K,W/m/K
-9.55,0.7683533493158468,0.0031766506841532927,3.4263533923594287,0.3280048306405714,0.0007926068407638176,0.00016660684076381753,0.02652376244122815,0.0013762375587718506,0.14745201744600947,0.0035220174460094678
-3.15,,,,,,,0.026001545153272056,0.001398454846727945,0.14595847714903454,0.0036884771490345303
0.45,0.7615297265467982,0.0024802734532017867,2.7653548474883896,0.17335014351161027,,,,,,
6.85,,,,,0.004097244262126719,0.0006072442621267186,0.025189393780698097,0.001310606219301902,0.1436521632229386,0.0039321632229386005
10.45,0.7546411340878819,0.0018888659121181206,2.2782944761305095,0.09794969086949035,,,,,,
16.85,,,,,,,0.02438197621379362,0.0012180237862063799,0.1413751834471419,0.0041351834471418936
20.45,0.7476847228935155,0.0014152771064844805,1.9106454371335426,0.0598524938664573,,,,,,
26.85,,,,,0.022947321547687433,0.0021473215476874342,0.023579391639284828,0.001220608360715171,0.139123288677788,0.004303288677788009
30.45,0.7406574396079738,0.001042560392026215,1.6272263947150274,0.04029416628497251,,,0.023291664192023307,0.000608335807976694,0.13831797610070976,0.005867976100709743
40.45,0.7335560056999247,0.000753994300075278,1.4046562810416936,0.030296258958306455,,,,,,
46.85,,,,,0.09996591643141785,0.005265916431417841,0.021989143013038955,0.001010856986961045,0.1346791240933847,0.004539124093384694
50.45,0.726376893793641,0.0005431062063590009,1.2269838345402198,0.02520347645978016,,,,,,
56.85,,,,,,,0.021201703335076684,0.0008982966649233176,0.1324795724559811,0.0046195724559811024
60.45,0.7191163007244796,0.0004136992755203739,1.0830696475279804,0.022610449472019623,,,,,,
66.85,,,,,0.35492930866807115,0.008929308668071179,0.020419546304172073,0.0007804536958279269,0.13029045526254676,0.004670455262546752
70.45,0.711770116749487,0.0003498832505129945,0.9649702903448225,0.021239898655177503,,,,,,
76.85,,,,,,,0.019642799842175873,0.0006572001578241254,0.12810847637735098,0.004678476377350985
80.45,0.7043338902236892,0.0003461097763107768,0.8669137658129843,0.020382595187015684,,,,,,
86.85,,,,,1.0648916258216454,0.008891625821645377,0.018871599180297228,0.0005284008197027727,0.12593041180436,0.004670411804359981
90.45,0.6968027869020996,0.00038721309790035185,0.7846339502699456,0.019651825730054306,,,,,,
96.85,,,,,,,0.018106087533492514,0.00039391246650748515,0.12375307617050067,0.004633076170500669
100.45,0.6891715428377903,0.0004884571622097988,0.7149286318217913,0.018795232178208665,,,,,,
106.85,,,,,2.777718416524127,0.005281583475873042,0.017346416862401882,0.000353583137598118,0.12157328984101211,0.004563289841012105
116.85,,,,,,,0.016592748737722457,0.000207251262277542,0.11938784578915591,0.004467845789155919
126.85,,,,,6.443695863063001,0.045304136936999306,0.015845255325082595,5.474467491740562e-05,0.1171934753137632,0.004333475313763199
136.85,,,,,,,0.015104120512482968,4.1205124829673395e-06,0.11498681162102277,0.0041768116210227635
140.0,,,,,10.606315289768377,0.0936847102316225,0.014872011079775017,7.201107977501675e-05,0.11428861091950343,0.0041186109195034265
